201710;001;AS;AAAS;AFC ;279  ;000;16187;A  ;Contemporary African Literatur;ELL;M1 ;0025;0000;0025;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;279  ;000;16251;A  ;Caribbean Cultural Production ;ELE;M1 ;0025;0002;0023;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;312  ;000;13515;A  ;African Civilization          ;L  ;M1 ;0036;0000;0036;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pieh,Patrick K           ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;313  ;000;16257;A  ;Contemporary Africa: Prospects;DEO;WW1;0020;0002;0018;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;361  ;000;13516;A  ;The African American Family   ;L  ;M1 ;0025;0004;0021;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;402L4;000;16260;A  ;African Amer Stud Intern Semin;DEO;WW1;0005;0000;0005;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;501  ;000;13517;A  ;Found Issue African Amer Stud ;L  ;M5 ;0011;0000;0011;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;505  ;000;16258;A  ;The African Political Economy ;DEO;WW5;0005;0000;0005;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;543  ;000;13518;A  ;Civil Rights&Afri Amer Exper  ;L  ;M5 ;0015;0002;0013;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0006;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;001;12853;C  ;Visual Arts for Elem Teachers ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;003;12852;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0021;0004;09/07/2016;12/20/2016;09:00 am;10:50 am;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0063;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;004;16868;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0009;0016;09/07/2016;12/20/2016;03:00 pm;04:50 pm;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0027;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;006;12834;H  ;Visual Arts for Elem Teachers ;ELL;M1 ;0020;0004;0016;09/07/2016;12/20/2016;11:00 am;12:50 pm;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;007;12993;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0006;0019;09/07/2016;12/20/2016;09:00 am;12:40 pm; ; ; ; ;F; ; ;FORD  ;210       ;NOT ASSIGNED             ;0018;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;009;13583;C  ;Visual Arts for Elem Teachers ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;010;16873;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0017;0008;09/07/2016;12/20/2016;09:00 am;10:50 am; ;T; ;R; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0051;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;011;17048;A  ;Visual Arts for Elem Teachers ;DEO;WW1;0025;0012;0013;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Yang,Guey-Meei           ;0036;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;012;17049;A  ;Visual Arts for Elem Teachers ;DEO;WW1;0025;0007;0018;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Yang,Guey-Meei           ;0021;0003                                                                      
201710;001;AS;ART ;ARTE;355  ;002;13584;C  ;Interprtg Art in Visual Art Ed;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;357  ;002;14098;A  ;Intro to Visual Arts Education;L  ;M1 ;0015;0001;0014;09/07/2016;12/20/2016;03:00 pm;04:50 pm; ;T; ;R; ; ; ;FORD  ;210       ;McComb,Camilla L         ;0003;0003                                                                      
201710;001;AS;ART ;ARTE;360  ;002;13990;C  ;Technology in Visual Arts Educ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;360  ;003;17278;A  ;Technology in Visual Arts Educ;L  ;M1 ;0015;0008;0007;09/07/2016;12/20/2016;12:30 pm;02:20 pm; ;T; ;R; ; ; ;SHERZ ;201       ;Yang,Guey-Meei           ;0024;0003                                                                      
201710;001;AS;ART ;ARTE;460  ;001;13585;A  ;Approaches to Visual Arts Ed  ;HLL;M1 ;0015;0006;0009;09/07/2016;12/20/2016;05:30 pm;07:20 pm; ;T; ;R; ; ; ;FORD  ;210       ;McComb,Camilla L         ;0024;0004                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;12/10/2016;12/10/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;11/19/2016;11/19/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;11/12/2016;11/12/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;10/08/2016;10/08/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;09/17/2016;09/17/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;09/10/2016;09/10/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
